"cell_line","IC50","AAC","ENSG00000198793","ENSG00000138685","ENSG00000088832"
"SU-DHL-5",3.6206503906398,0.260496749420265,5.5097909326372,3.1757710246547,3.50834006614921
"SUIT-2",999970.871396477,0.0851614348789175,4.96014626191207,5.11603932789182,3.7441076703803
"SUP-B15",7.61177290650748,0.291722592553691,4.71747109163632,3.18296097150766,3.34512207183385
"SUP-HD1",3.16729613144754,0.140497101205689,4.55794448053681,4.47972419259068,3.98699117041576
"SUP-T1",0.00107000317886159,0.472334049013796,5.27574009636187,3.31281828423355,3.46819195217078
"SW1463",43.0678887058004,0.194119888495837,4.63796543773335,3.45948042868468,4.59453085653171
"SW1783",5.096501741176,0.0939632231689949,5.22931280306845,7.28262889880314,3.1873457601193
"SW620",3.61778095129431,0.236552703004782,4.86849123296311,3.31035381345822,4.96661466249003
"SW626",39.5819977114013,0.130606136815426,4.2328938892545,3.09011376143219,2.98051487094854
"SW780",10.0888423726078,0.0254944400179447,5.06462602109714,3.19687535343592,4.23004356141378
"SW948",63644.9153632209,0.230076101198284,4.15087958959904,3.15453564603982,3.30836415396687
"T84",2.36385202609825,0.256047824316589,4.42630103231141,3.46424854344028,3.53333942949514
"T98G",22.9540210593116,0.241404438065615,4.7790436897446,5.94334857018791,3.66885975942804
"TE-1",3.65917604508912,0.207255045906475,5.09178829892001,4.07435936845509,4.07202386385936
"TE-5",3.62114505802409,0.0440371808935949,4.26694526185412,3.68165227717913,4.187994740176
"TE-6",97.5785771472503,0.107232247315771,5.29781856414478,3.93176566246521,3.68720417111135
"TE-9",6.19991151781298,0.134202288601467,5.02744621896844,5.62842923334859,4.08308705743049
"TGBC1TKB",10.7054542450629,0.18508578277933,4.7224565677834,3.14779808015043,4.1355580729297
"TGBC24TKB",0.154409044146087,0.524233949061142,5.03467080438258,3.44770174637234,3.53413991943084
"TT2609-C02",13.5883492207597,0.067000079071345,4.11222797790777,5.65827255923814,3.66039673285528
"U-698-M",8.23437598820355,0.0693625898075476,5.95873252435959,3.29524592021068,4.86848558070902
"UACC-62",0.0132638412780885,0.523823613503367,5.17918907279131,4.43669109533525,4.1748086071962
"VA-ES-BJ",0.0138608070714087,0.00867726595358362,4.19245017484798,4.08184733783601,4.21129954435798
"VCaP",14078.4583280537,0.153379405633269,5.02359910994345,3.54360661000228,4.65095373964477
"VM-CUB-1",2.08473576045586,0.231344764543188,5.12666270769249,5.7583957083884,5.02424264419881
"WM1552C",2.85005319264146,0.21679144738863,5.04740252983897,4.61161596675703,3.68676353440333
"WM35",4.31510889641129,0.124916472867054,5.07047357079154,3.42561639038003,5.58433443794459
"WSU-NHL",3.16909940550721,0.142693705777478,5.31379928706964,3.47166587330973,3.95433955176549
